iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,asc_examined,asc_positive,tt_examined,tt_positive,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
CIV,CI,1624.0,15400.0,15400.0,epp siakavogo,,-5.31407,10.22003,3,school,mapping,2014.0,7.0,13.0,32,0,32,0,32,0,1,24808,0.0,0.0,0.0,0.0
CIV,CI,1609.0,15340.0,15340.0,epp sicogi 1,,-3.9798,5.29916,3,school,mapping,2014.0,7.0,12.0,30,1,30,0,30,0,1,23864,0.03333333333333333,0.0,0.0,0.03144654088050314
CIV,CI,1608.0,15333.0,15333.0,epp sicogi 4b,,-4.07009,5.34199,3,school,mapping,2014.0,7.0,13.0,30,0,30,0,30,0,1,23754,0.0,0.0,0.0,0.0
CIV,CI,1608.0,15333.0,15333.0,epp sicogi 7a,,-4.07251,5.33753,3,school,mapping,2014.0,7.0,12.0,30,0,30,0,30,0,1,23755,0.0,0.0,0.0,0.0
CIV,CI,1608.0,15333.0,15333.0,epp sicogi 8c,,-4.05864,5.33625,3,school,mapping,2014.0,8.0,11.0,30,0,30,0,30,0,1,23756,0.0,0.0,0.0,0.0
CIV,CI,1608.0,15333.0,15333.0,epp sicogi 9c,,-4.0749,5.33242,3,school,mapping,2014.0,7.0,14.0,30,2,30,1,30,0,1,23757,0.06666666666666667,0.03333333333333333,0.0,0.09224318658280922
CIV,CI,1624.0,15398.0,15398.0,epp sidana,,-4.45014,9.06159,3,school,mapping,2014.0,7.0,13.0,32,2,32,0,32,0,1,24777,0.0625,0.0,0.0,0.05896226415094339
CIV,CI,1627.0,15409.0,15409.0,epp sienkounon,,-6.4635,9.03233,3,school,mapping,2014.0,8.0,13.0,34,9,34,0,34,0,1,24904,0.2647058823529412,0.0,0.0,0.2497225305216426
CIV,CI,1612.0,15353.0,15353.0,epp sinde anveyo,,-3.4428900000000002,8.53508,3,school,mapping,2014.0,8.0,14.0,30,7,30,0,30,0,1,24006,0.23333333333333334,0.0,0.0,0.220125786163522
CIV,CI,1608.0,15333.0,15333.0,epp siporex 9a,,-4.05419,5.3263,3,school,mapping,2014.0,7.0,13.0,30,0,30,0,30,0,1,23758,0.0,0.0,0.0,0.0
CIV,CI,1621.0,15386.0,15386.0,epp sodepalm,,-5.68508,5.09133,3,school,mapping,2014.0,9.0,14.0,30,6,30,0,30,0,1,24566,0.2,0.0,0.0,0.18867924528301885
CIV,CI,1624.0,15398.0,15398.0,epp sodesucre c 2,,-5.16405,9.30031,4,school,mapping,2014.0,7.0,14.0,30,0,30,0,30,0,1,24778,0.0,0.0,0.0,0.0
CIV,CI,1624.0,15398.0,15398.0,epp sodesucre c1,,-5.16305,9.30158,4,school,mapping,2014.0,7.0,13.0,32,5,32,0,32,0,1,24779,0.15625,0.0,0.0,0.14740566037735847
CIV,CI,1608.0,15333.0,15333.0,epp sogefiha 5a,,-4.06489,5.32681,3,school,mapping,2014.0,7.0,12.0,31,0,31,0,31,0,1,23759,0.0,0.0,0.0,0.0
CIV,CI,1620.0,15383.0,15383.0,epp sokouraba,,-7.00018,9.3436,3,school,mapping,2014.0,7.0,12.0,30,1,30,0,30,0,1,24510,0.03333333333333333,0.0,0.0,0.03144654088050314
CIV,CI,1620.0,15382.0,15382.0,epp somokoro,,-7.84724,9.70243,3,school,mapping,2014.0,7.0,12.0,30,4,30,0,30,0,1,24495,0.13333333333333333,0.0,0.0,0.12578616352201255
CIV,CI,1610.0,15345.0,15345.0,epp soukoukro 1,,-4.61842,5.72004,4,school,mapping,2014.0,7.0,12.0,32,3,32,4,32,6,1,23878,0.09375,0.125,0.1875,0.3355781987028302
CIV,CI,1627.0,15410.0,15410.0,epp stade,,-6.68517,7.96677,3,school,mapping,2014.0,7.0,14.0,30,2,30,0,30,0,1,24918,0.06666666666666667,0.0,0.0,0.06289308176100628
CIV,CI,1609.0,15340.0,15340.0,epp stades,,-3.97925,5.30125,3,school,mapping,2014.0,8.0,13.0,30,0,30,0,30,0,1,23865,0.0,0.0,0.0,0.0
CIV,CI,1609.0,15338.0,15338.0,epp stars,,-3.99337,5.39318,3,school,mapping,2014.0,7.0,14.0,30,0,30,0,30,0,1,23834,0.0,0.0,0.0,0.0
CIV,CI,1624.0,15397.0,15397.0,epp tabakoroni,,-6.25488,10.06299,3,school,mapping,2014.0,7.0,14.0,32,0,32,0,32,0,1,24764,0.0,0.0,0.0,0.0
CIV,CI,1613.0,15360.0,15360.0,epp tahibly,,-8.26866,6.59104,3,school,mapping,2014.0,7.0,14.0,30,0,30,0,30,2,1,24052,0.0,0.0,0.06666666666666667,0.06289308176100628
CIV,CI,1612.0,15354.0,15354.0,epp takikro 1,,-2.95912,7.23795,3,school,mapping,2014.0,8.0,14.0,32,0,32,0,32,0,1,24021,0.0,0.0,0.0,0.0
CIV,CI,1612.0,15354.0,15354.0,epp takrom,,-2.9704300000000003,7.55896,3,school,mapping,2014.0,9.0,13.0,31,4,31,0,31,0,1,24022,0.12903225806451613,0.0,0.0,0.12172854534388312
CIV,CI,1627.0,15410.0,15410.0,epp tala,,-7.01168,7.88246,3,school,mapping,2014.0,7.0,14.0,30,5,30,0,30,0,1,24919,0.16666666666666666,0.0,0.0,0.1572327044025157
CIV,CI,1612.0,15353.0,15353.0,epp talahini,,-3.56624,8.39204,3,school,mapping,2014.0,7.0,14.0,30,8,30,0,30,0,1,24007,0.26666666666666666,0.0,0.0,0.2515723270440251
CIV,CI,1612.0,15351.0,15351.0,epp tambi 1,,-2.5772500000000003,8.23364,3,school,mapping,2014.0,8.0,14.0,30,1,30,0,30,0,1,23977,0.03333333333333333,0.0,0.0,0.03144654088050314
CIV,CI,1627.0,15409.0,15409.0,epp tchassedougou,,-5.66478,8.21413,3,school,mapping,2014.0,9.0,12.0,31,17,31,0,31,0,1,24905,0.5483870967741935,0.0,0.0,0.5173463177115033
CIV,CI,1623.0,15393.0,15393.0,epp tchoumoukro,,-3.5819900000000002,7.12325,4,school,mapping,2014.0,8.0,12.0,30,14,30,0,30,0,1,24698,0.4666666666666667,0.0,0.0,0.440251572327044
