"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"ETH","ET",1948.0,3155.0,18787.0,"qachi",52199.0,35.527699,8.3530102,3,"","",2009.0,"","",98.0,46,98.0,8,98.0,0,1,5120,0.4693877551020408,0.0816326530612244,0.0,0.4836821135847485,7160.626101074704,220,220,220,185
"ETH","ET",1948.0,3159.0,18946.0,"rayya",52433.0,37.0569,8.4420204,3,"","",2009.0,"","",95.0,44,95.0,21,95.0,0,1,5197,0.4631578947368421,0.2210526315789473,0.0,0.5488945800449485,56344.04392642738,221,221,221,186
"ETH","ET",1943.0,3171.0,18602.0,"sanja","",37.3,12.983333,3,"","",2013.0,5.0,19.0,384.0,42,384.0,6,384.0,1,1,29495,0.109375,0.015625,0.0026041666666666,0.1184661433381854,0.0,222,222,223,187
"ETH","ET",1943.0,3171.0,18602.0,"sanja town","",37.3,12.983333,3,"","",2013.0,"","",385.0,143,385.0,62,385.0,3,1,29537,0.3714285714285714,0.161038961038961,0.0077922077922077,0.4497757152358614,0.0,223,223,222,187
"ETH","ET",1943.0,3180.0,18629.0,"school in addis ababa","",38.8167,4.75,4,"","",2005.0,7.0,17.0,50.0,0,50.0,3,50.0,1,2,31348,0.0,0.06,0.02,0.0743396226415094,72512.06607901797,224,224,224,188
"ETH","ET",1948.0,"",3144.0,"school in addis ababa","",39.2667,8.55,4,"","",2005.0,7.0,17.0,50.0,3,50.0,8,50.0,1,2,31484,0.06,0.16,0.02,0.213388679245283,0.0,225,225,281,189
"ETH","ET",1948.0,3144.0,18746.0,"school in addis ababa",52142.0,39.266701,8.5500002,3,"","",2005.0,"","",50.0,3,50.0,8,50.0,1,2,5098,0.06,0.16,0.02,0.213388679245283,0.11357338629821291,226,226,225,189
"ETH","ET",1944.0,3131.0,18687.0,"school in addis ababa",52187.0,38.7279819,8.9963835,2,"","",2005.0,"","",49.0,15,49.0,6,49.0,0,2,5071,0.3061224489795918,0.1224489795918367,0.0,0.3689500443997391,0.0,227,227,228,190
"ETH","ET",1948.0,3135.0,18764.0,"school in addis ababa",52171.0,38.7279819,8.9963835,2,"","",2005.0,"","",50.0,0,50.0,3,50.0,1,2,5109,0.0,0.06,0.02,0.0743396226415094,0.0,228,228,227,190
"ETH","ET",1947.0,"",3154.0,"school in addis ababa","",42.116699,9.31667,4,"","",2005.0,7.0,17.0,181.0,16,181.0,14,181.0,4,2,31427,0.0883977900552486,0.0773480662983425,0.0220994475138121,0.1674491666127146,0.0,229,229,237,191
"ETH","ET",1947.0,3154.0,18732.0,"school in addis ababa",52358.0,42.116699,9.3166704,3,"","",2005.0,"","",50.0,11,50.0,11,50.0,0,2,5088,0.22,0.22,0.0,0.3694339622641509,0.0,230,230,231,192
