iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,asc_examined,asc_positive,tt_examined,tt_positive,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst,identifier
GAB,GA,2053.0,20339.0,20339.0,e.p.doumaye,12134.0,13.57942,-2.21186,3,,,2015.0,,,49,18,49,35,49,44,1,5395,0.3673469387755102,0.7142857142857143,0.8979591836734694,0.9259955701296964,0.0,52,52,53,38
GAB,GA,2053.0,20339.0,20339.0,e.p.doumaye,12126.0,13.57942,-2.21186,3,,,2015.0,,,52,18,52,35,52,44,1,5396,0.3461538461538461,0.6730769230769231,0.8461538461538461,0.9123719308490996,0.0,53,53,52,38
GAB,GA,2053.0,20341.0,20341.0,e.p.edjouangoulou,12151.0,14.42196,-1.4937,3,,,2015.0,,,8,4,8,6,8,6,1,5404,0.5,0.75,0.75,0.9139150943396226,21095.66248176081,54,54,54,39
GAB,GA,2053.0,20342.0,20342.0,e.p.konda,12048.0,13.1636,-1.57894,3,,,2015.0,,,26,1,26,8,26,12,1,5412,0.0384615384615384,0.3076923076923077,0.4615384615384615,0.6052421397961198,0.0,55,55,56,40
GAB,GA,2053.0,20342.0,20342.0,e.p.konda,11978.0,13.1636,-1.57894,3,,,2015.0,,,27,1,27,8,27,12,1,5411,0.037037037037037,0.2962962962962963,0.4444444444444444,0.5882386773760326,0.0,56,56,55,40
GAB,GA,2053.0,20341.0,20341.0,e.p.leconi,12152.0,14.25697,-1.58689,3,,,2015.0,,,96,6,96,45,96,50,1,5405,0.0625,0.46875,0.5208333333333334,0.7182571123231133,21095.66248176081,57,57,57,41
GAB,GA,2053.0,20337.0,20337.0,e.p.mamidy,12064.0,12.97184,-1.93722,3,,,2015.0,,,10,0,10,1,10,2,1,5382,0.0,0.1,0.2,0.2641509433962264,13110.251487298236,58,58,58,42
GAB,GA,2053.0,20340.0,20340.0,e.p.mbenguia 2,12076.0,13.49226,-1.63272,3,,,2015.0,,,50,0,50,34,50,38,1,5400,0.0,0.68,0.76,0.8709433962264149,8487.086938217097,59,59,59,43
GAB,GA,2053.0,20340.0,20340.0,e.p.mvengue,12077.0,13.41676,-1.6433179999999998,3,,,2015.0,,,50,0,50,18,50,13,1,5399,0.0,0.36,0.26,0.4966037735849056,8487.086938217097,60,60,60,44
GAB,GA,2053.0,20344.0,20344.0,e.p.odjala,12161.0,13.77533,-0.33672,3,,,2015.0,,,42,9,42,18,42,11,1,5429,0.2142857142857142,0.4285714285714285,0.2619047619047619,0.6307644351541155,0.0,61,61,62,45
GAB,GA,2053.0,20344.0,20344.0,e.p.odjala,12156.0,13.77533,-0.33672,3,,,2015.0,,,49,9,49,18,49,11,1,5423,0.1836734693877551,0.3673469387755102,0.2244897959183673,0.5655534042178869,0.0,62,62,61,45
GAB,GA,2053.0,20343.0,20343.0,e.p.okangoville,11989.0,13.7318129,-1.2265508,1,,,2015.0,,,12,0,12,0,12,0,1,5417,0.0,0.0,0.0,0.0,13494.972366380478,63,63,63,46
GAB,GA,2053.0,20344.0,20344.0,e.p.okondja b,12162.0,13.69774,-0.66537,3,,,2015.0,,,46,2,46,10,46,9,1,5432,0.0434782608695652,0.217391304347826,0.1956521739130435,0.37535802844378,0.0,64,64,65,47
GAB,GA,2053.0,20344.0,20344.0,e.p.okondja b,12157.0,13.69774,-0.66537,3,,,2015.0,,,50,2,50,10,50,9,1,5430,0.04,0.2,0.18,0.3492830188679245,0.0,65,65,64,47
GAB,GA,2053.0,20336.0,20336.0,e.p.osskama,12054.0,13.86914,-1.10596,3,,,2015.0,,,34,3,34,4,34,2,1,5373,0.088235294117647,0.1176470588235294,0.0588235294117647,0.2290803374950554,0.0,66,66,67,48
GAB,GA,2053.0,20336.0,20336.0,e.p.osskama,11984.0,13.86914,-1.10596,3,,,2015.0,,,35,3,35,4,35,2,1,5377,0.0857142857142857,0.1142857142857142,0.0571428571428571,0.2230925793497991,0.0,67,67,66,48
GAB,GA,2053.0,20341.0,20341.0,e.p.ossouele,12153.0,14.37418,-1.08325,3,,,2015.0,,,20,8,20,12,20,16,1,5403,0.4,0.6,0.8,0.8981132075471694,26126.632964927925,68,68,68,49
GAB,GA,2053.0,20338.0,20338.0,e.p.souba,11927.0,14.05405,-1.58752,3,,,2015.0,,,33,2,33,12,33,6,1,5390,0.0606060606060606,0.3636363636363636,0.1818181818181818,0.4819755326538421,21946.3349392408,69,69,69,50
GAB,GA,2053.0,20344.0,20344.0,e.p.tebe,12163.0,13.66638,-0.0134,3,,,2015.0,,,39,17,39,25,39,30,1,5426,0.4358974358974359,0.6410256410256411,0.7692307692307693,0.8993109529003243,0.0,70,70,71,51
GAB,GA,2053.0,20344.0,20344.0,e.p.tebe,12158.0,13.66638,-0.0134,3,,,2015.0,,,40,17,40,25,40,30,1,5427,0.425,0.625,0.75,0.8925412735849056,0.0,71,71,70,51
GAB,GA,2055.0,20348.0,20348.0,ecole  alliance chretienne,12164.0,10.58328,-1.23197,3,,,2014.0,,,48,1,48,5,48,5,1,5456,0.0208333333333333,0.1041666666666666,0.1041666666666666,0.2020771231874563,1946.5349066126862,72,72,72,52
GAB,GA,2053.0,20340.0,20340.0,ecole catholique akou,12078.0,13.59352,-1.63292,3,,,2015.0,,,48,1,48,16,48,16,1,5398,0.0208333333333333,0.3333333333333333,0.3333333333333333,0.5328441649196365,1549.5677120218575,73,73,73,53
GAB,GA,2051.0,20330.0,20330.0,ecole catholique de sainte marie,11995.0,9.44038,0.4052385,1,,,2014.0,,,46,0,46,1,46,2,1,5344,0.0,0.0217391304347826,0.0434782608695652,0.060634162000214,1552.2382803850244,74,74,74,54
GAB,GA,2052.0,20328.0,20328.0,ecole catholique notre dame de la merci,12100.0,9.58083,1.00211,3,,,2014.0,,,43,1,43,5,43,15,1,5333,0.0232558139534883,0.1162790697674418,0.3488372093023256,0.4131474361697355,525.7789655085772,75,75,75,55
GAB,GA,2053.0,20340.0,20340.0,ecole catholique saint hilaire,12079.0,13.60744,-1.63293,3,,,2015.0,,,47,0,47,6,47,3,1,5402,0.0,0.1276595744680851,0.0638297872340425,0.1729630926655107,1549.5677120218575,76,76,76,56
GAB,GA,2056.0,20358.0,20358.0,ecole catholique sainte therese,11896.0,10.65465,-3.4319800000000003,3,,,2015.0,,,48,0,48,8,48,4,1,5503,0.0,0.1666666666666666,0.0833333333333333,0.2227463312368972,676.3074594468658,77,77,77,57
GAB,GA,2052.0,20333.0,20333.0,ecole catholique st benoit,11964.0,9.77094,0.30907,4,,,2014.0,,,44,4,44,2,44,19,1,5357,0.0909090909090909,0.0454545454545454,0.4318181818181818,0.4782543980267354,7237.43149919723,78,78,78,58
GAB,GA,2054.0,20346.0,20346.0,ecole catholique st joseph,12127.0,10.22043,-0.7016800000000001,3,,,2014.0,,,39,1,43,1,43,7,1,5442,0.0256410256410256,0.0232558139534883,0.1627906976744186,0.1917248644189264,0.0,79,79,80,59
GAB,GA,2054.0,20346.0,20346.0,ecole catholique st joseph,12119.0,10.22043,-0.7016800000000001,3,,,2014.0,,,50,1,50,1,50,7,1,5445,0.02,0.02,0.14,0.1642037735849056,0.0,80,80,79,59
GAB,GA,2059.0,20372.0,20372.0,ecole charles ping,11947.0,9.2613,-1.57062,3,,,2015.0,,,50,4,50,7,50,7,1,5558,0.08,0.14,0.14,0.3014792452830189,0.0,81,81,82,60
GAB,GA,2059.0,20372.0,20372.0,ecole charles ping,11946.0,9.2613,-1.57062,3,,,2014.0,,,50,4,50,7,50,7,1,5559,0.08,0.14,0.14,0.3014792452830189,0.0,82,82,81,60
GAB,GA,2055.0,20351.0,20351.0,ecole communale  a,12090.0,10.38761,-1.70394,3,,,2015.0,,,62,1,62,6,62,8,1,5473,0.0161290322580645,0.0967741935483871,0.1290322580645161,0.213214957284174,0.0,83,83,153,61
GAB,GA,2055.0,20352.0,20352.0,ecole communale  b,11911.0,11.91761,-1.9105,3,,,2015.0,,,89,5,38,23,89,23,1,5477,0.0561797752808988,0.6052631578947368,0.2584269662921348,0.682753862716069,1554.4926870209704,84,84,84,62
GAB,GA,2056.0,20359.0,20359.0,ecole communale a,11936.0,10.92565842,-2.632749474,3,,,2015.0,,,69,0,69,21,69,31,1,5507,0.0,0.3043478260869565,0.4492753623188406,0.5819690646883284,0.0,85,85,86,63
GAB,GA,2056.0,20362.0,20362.0,ecole communale a,12070.0,10.92565842,-2.632749474,3,,,2015.0,,,49,0,49,6,49,7,1,5512,0.0,0.1224489795918367,0.1428571428571428,0.2337862368667142,0.0,86,86,85,63
GAB,GA,2056.0,20359.0,20359.0,ecole communale b,11937.0,10.95137875,-2.6292,3,,,2015.0,,,49,0,49,26,49,28,1,5506,0.0,0.5306122448979592,0.5714285714285714,0.7536168106056437,0.0,87,87,88,64
GAB,GA,2055.0,20352.0,20352.0,ecole communale b,11915.0,10.95137875,-2.6292,4,,,2015.0,,,89,5,89,23,89,23,1,5479,0.0561797752808988,0.2584269662921348,0.2584269662921348,0.4537400105670376,0.0,88,88,87,64
GAB,GA,2056.0,20362.0,20362.0,ecole communale b,12071.0,10.95137875,-2.6292,3,,,2015.0,,,49,0,49,4,48,5,1,5511,0.0,0.0816326530612244,0.1041666666666666,0.1672603003465536,0.0,89,89,87,64
GAB,GA,2056.0,20362.0,20362.0,ecole communale c,12072.0,11.00353,-2.91636,3,,,2015.0,,,42,0,42,7,42,3,1,5515,0.0,0.1666666666666666,0.0714285714285714,0.2133872416891284,1272.1954822133146,90,90,90,65
GAB,GA,2056.0,20362.0,20362.0,ecole communale d,12073.0,10.99288,-2.9205,3,,,2015.0,,,49,0,49,7,49,8,1,5514,0.0,0.1428571428571428,0.1632653061224489,0.2667913526596622,1220.7426923955923,91,91,91,66
GAB,GA,2056.0,20359.0,20359.0,ecole communale de l'alliance chretienne,11938.0,10.92673,-2.44534,3,,,2015.0,,,50,0,50,18,50,11,1,5508,0.0,0.36,0.22,0.4724528301886791,1479.0389257246989,92,92,92,67
GAB,GA,2056.0,20362.0,20362.0,ecole communale e,12074.0,10.98487,-2.91302,3,,,2015.0,,,47,0,47,5,47,11,1,5513,0.0,0.1063829787234042,0.2340425531914893,0.2976673471305209,1220.7426923955923,93,93,93,68
GAB,GA,2055.0,20349.0,20349.0,ecole de l'alliance chretienne,12040.0,11.5987,-2.35051,3,,,2015.0,,,48,14,48,34,48,39,1,5464,0.2916666666666667,0.7083333333333334,0.8125,0.9068519064465408,12038.372892564168,94,94,94,69
GAB,GA,2055.0,20352.0,20352.0,ecole de moukama,11912.0,12.02605,-2.0101,3,,,2015.0,,,42,6,42,31,42,38,1,5478,0.1428571428571428,0.7380952380952381,0.9047619047619048,0.9232264334305148,0.0,95,95,96,70
GAB,GA,2055.0,20352.0,20352.0,ecole de moukama,11916.0,12.02605,-2.0101,3,,,2015.0,,,44,6,44,31,44,38,1,5476,0.1363636363636363,0.7045454545454546,0.8636363636363636,0.9105705030974014,0.0,96,96,95,70
GAB,GA,2052.0,20333.0,20333.0,ecole meyang,11965.0,9.81959,0.38293,4,,,2014.0,,,42,3,42,4,42,18,1,5361,0.0714285714285714,0.0952380952380952,0.4285714285714285,0.4904926930340867,5231.341549563284,97,97,97,71
GAB,GA,2057.0,20364.0,20364.0,ecole mohoba mozeve,11959.0,13.22416,0.31776,3,,,2015.0,,,51,0,51,40,51,31,1,5525,0.0,0.7843137254901961,0.6078431372549019,0.8636010823123181,49149.19615056124,98,98,98,72
GAB,GA,2058.0,20369.0,20369.0,ecole priv. cath mikouyi,12080.0,12.66614,-0.88402,3,,,2015.0,,,42,0,42,3,42,6,1,5546,0.0,0.0714285714285714,0.1428571428571428,0.1925298421255294,9886.067471844568,99,99,99,73
GAB,GA,2056.0,20359.0,20359.0,ecole privee catholique saint kisito,11939.0,10.91346,-2.446,3,,,2015.0,,,48,0,48,18,48,15,1,5505,0.0,0.375,0.3125,0.5380306603773585,1479.0389257246989,100,100,100,74
GAB,GA,2059.0,20371.0,20371.0,ecole privee vie comblee,12095.0,11.5,-2.2669385,1,,,2015.0,,,41,0,41,0,41,9,1,5556,0.0,0.0,0.2195121951219512,0.2070869765301426,6799.226185128041,101,101,101,75
GAB,GA,2054.0,20347.0,20347.0,ecole protestante d'ebel abanga,11886.0,10.48581,-0.2739,3,,,2014.0,,,46,12,46,16,44,28,1,5451,0.2608695652173913,0.3478260869565217,0.6363636363636364,0.7780303300508742,0.0,102,102,103,76
GAB,GA,2054.0,20347.0,20347.0,ecole protestante d'ebel abanga,11891.0,10.48581,-0.2739,3,,,2014.0,,,50,12,50,16,50,28,1,5449,0.24,0.32,0.56,0.7288754716981132,0.0,103,103,102,76
GAB,GA,2057.0,20364.0,20364.0,ecole protestante de mbess,103059.0,12.68767,0.0,4,,,2015.0,7.0,0.0,25,1,25,7,25,3,1,667,0.04,0.28,0.12,0.3695698113207546,60850.02549885934,104,104,104,77
GAB,GA,2059.0,20371.0,20371.0,ecole pub augustin mayilas,12096.0,10.03172,-2.72215,3,,,2015.0,,,49,0,49,8,49,14,1,5554,0.0,0.1632653061224489,0.2857142857142857,0.3795588316189008,1315.3085439018994,105,105,105,78
GAB,GA,2058.0,20367.0,20367.0,ecole pub boundji mandji,12115.0,11.89337,-1.00027,3,,,2015.0,,,45,0,45,28,45,20,1,5537,0.0,0.6222222222222222,0.4444444444444444,0.7453994875378522,0.0,106,106,107,79
GAB,GA,2058.0,20367.0,20367.0,ecole pub boundji mandji,12111.0,11.89337,-1.00027,3,,,2014.0,,,45,0,45,28,45,20,1,5534,0.0,0.6222222222222222,0.4444444444444444,0.7453994875378522,0.0,107,107,106,79
GAB,GA,2058.0,20370.0,20370.0,ecole pub com pana,12020.0,12.62921,-1.66881,3,,,2015.0,,,109,0,109,44,109,12,1,5551,0.0,0.4036697247706422,0.110091743119266,0.4427554379673904,18263.21451640949,108,108,108,80
GAB,GA,2059.0,20371.0,20371.0,ecole pub com plaine 5,12097.0,10.02098,-2.7270700000000003,3,,,2015.0,,,47,0,47,13,47,17,1,5555,0.0,0.2765957446808511,0.3617021276595745,0.507785474516771,726.3515485460259,109,109,109,81
GAB,GA,2058.0,20367.0,20367.0,ecole pub d'iboundji,12116.0,11.82352,-1.22236,4,,,2015.0,,,116,0,116,76,116,66,1,5532,0.0,0.6551724137931034,0.5689655172413793,0.8031768110739684,0.0,110,110,111,82
GAB,GA,2058.0,20367.0,20367.0,ecole pub d'iboundji,12112.0,11.82352,-1.22236,4,,,2014.0,,,118,0,118,76,118,66,1,5533,0.0,0.6440677966101694,0.559322033898305,0.795423132584976,0.0,111,111,110,82
