iso2,iso3,admin0_id,admin1,admin1_id,admin2,admin2_id,iu_name,iu_id,iu_code
MZ,MOZ,31,Manica,3447.0,Barue,33150.0,Barue,33150.0,MOZ0344733150
MZ,MOZ,31,Zambezia,3453.0,Cid. Quelimane(quelimane),33239.0,Cid. Quelimane(quelimane),33239.0,MOZ0345333239
MZ,MOZ,31,Manica,3447.0,Guro,33153.0,Guro,33153.0,MOZ0344733153
MZ,MOZ,31,Niassa,3450.0,N'gauma,33207.0,N'gauma,33207.0,MOZ0345033207
MZ,MOZ,31,Nampula,3449.0,Nampula city,33172.0,Nampula city,33172.0,MOZ0344933172
MZ,MOZ,31,Niassa,3450.0,Lichinga City,33194.0,Lichinga City,33194.0,MOZ0345033194
MZ,MOZ,31,Cabo Delgado,3443.0,Quissanga,33116.0,Quissanga,33116.0,MOZ0344333116
MZ,MOZ,31,Zambezia,3453.0,Molocue(Alto Molocu̩),33251.0,Molocue(Alto Molocu̩),33251.0,MOZ0345333251
NG,NGA,34,Enugu,3788.0,Igbo-Eze South,36603.0,Igbo-Eze South,36603.0,NGA0378836603
MZ,MOZ,31,Zambezia,3453.0,Inhassunge,33244.0,Inhassunge,33244.0,MOZ0345333244
MZ,MOZ,31,Nampula,3449.0,Larde,33176.0,Larde,33176.0,MOZ0344933176
MZ,MOZ,31,Nampula,3449.0,Liupo,33177.0,Liupo,33177.0,MOZ0344933177
NG,NGA,34,Akwa Ibom,3777.0,Urue-Offong/Oruko,36404.0,Urue-Offong/Oruko,36404.0,NGA0377736404
MZ,MOZ,31,Zambezia,3453.0,Derre,33240.0,Derre,33240.0,MOZ0345333240
MZ,MOZ,31,Zambezia,3453.0,Luabo,33245.0,Luabo,33245.0,MOZ0345333245
MZ,MOZ,31,Tete,3452.0,Cid Tete,33228.0,Cid Tete,33228.0,MOZ0345233228
MZ,MOZ,31,Cidade De Maputo,3444.0,Kamaxakani,33118.0,Kamaxakani,33118.0,MOZ0344433118
MZ,MOZ,31,Zambezia,3453.0,Mocubela,33250.0,Mocubela,33250.0,MOZ0345333250
MZ,MOZ,31,Zambezia,3453.0,Molumbo,33252.0,Molumbo,33252.0,MOZ0345333252
NG,NGA,34,Sokoto,3808.0,Sokoto South,37056.0,Sokoto South,37056.0,NGA0380837056
NG,NGA,34,Sokoto,3808.0,Binji,37041.0,Binji,37041.0,NGA0380837041
MZ,MOZ,31,Zambezia,3453.0,Mulevala,33255.0,Mulevala,33255.0,MOZ0345333255
MZ,MOZ,31,Tete,3452.0,Mutarara,33235.0,Mutarara,33235.0,MOZ0345233235
NG,NGA,34,Anambra,3778.0,Ekwusiko,36414.0,Ekwusiko,36414.0,NGA0377836414
NG,NGA,34,Anambra,3778.0,Idimili North,36415.0,Idimili North,36415.0,NGA0377836415
MZ,MOZ,31,Tete,3452.0,Mavara,33232.0,Mavara,33232.0,MOZ0345233232
MZ,MOZ,31,Manica,3447.0,Macate,33154.0,Macate,33154.0,MOZ0344733154
MZ,MOZ,31,Manica,3447.0,Vanduze,33161.0,Vanduze,33161.0,MOZ0344733161
MZ,MOZ,31,Maputo,3448.0,Matola,33163.0,Matola,33163.0,MOZ0344833163
MZ,MOZ,31,Maputo,3448.0,Matutuine,33167.0,Matutuine,33167.0,MOZ0344833167
MZ,MOZ,31,Maputo,3448.0,Namaacha,33169.0,Namaacha,33169.0,MOZ0344833169
NG,NGA,34,Anambra,3778.0,Anaocha,36409.0,Anaocha,36409.0,NGA0377836409
MZ,MOZ,31,Maputo,3448.0,Magude,33164.0,Magude,33164.0,MOZ0344833164
MZ,MOZ,31,Maputo,3448.0,Xinavane,33098.0,Xinavane,33098.0,MOZ0344833098
MZ,MOZ,31,Gaza,3445.0,Cid. Xai-Xai,33128.0,Cid. Xai-Xai,33128.0,MOZ0344533128
MZ,MOZ,31,Maputo,3448.0,Manhica,33165.0,Manhica,33165.0,MOZ0344833165
MZ,MOZ,31,Gaza,3445.0,Chibuto,33124.0,Chibuto,33124.0,MOZ0344533124
