"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"TCD","TD",1171,10697,10697,50653.0,15.6891,9.0257998,3,"","",2000.0,"","",50,40,50,0,50,0,3,14397,0.8,0.0,0.0,0.7547169811320754
"TCD","TD",1169,10688,10688,10962.0,15.6930556,13.4725,3,"","",2015.0,"","",50,0,50,0,50,0,1,14358,0.0,0.0,0.0,0.0
"TCD","TD",1162,10664,10664,11053.0,17.6399833,12.93965,3,"","",2015.0,"","",50,0,50,2,50,0,1,14266,0.0,0.04,0.0,0.03773584905660377
"TCD","TD",1176,10717,10717,10733.0,19.2711111,9.9002778,3,"","",2015.0,"","",50,0,50,0,50,0,1,14449,0.0,0.0,0.0,0.0
"TCD","TD",1179,10730,10730,10659.0,22.0347222,13.535,3,"","",2015.0,"","",50,0,50,0,50,0,1,14509,0.0,0.0,0.0,0.0
"TCD","TD",1168,10683,10683,50645.0,17.0568962,12.3783745,1,"","",2000.0,"","",50,3,50,0,50,0,3,14329,0.06,0.0,0.0,0.056603773584905655
"TCD","TD",1174,10753,10753,10756.0,15.5397222,10.5663889,3,"","",2015.0,"","",50,1,50,0,50,0,1,14539,0.02,0.0,0.0,0.018867924528301886
"TCD","TD",1174,10753,10753,10872.0,15.8866667,9.8075,3,"","",2015.0,"","",50,3,50,4,50,2,1,14534,0.06,0.08,0.04,0.1601811320754717
"TCD","TD",1168,10686,10686,50657.0,15.7645,12.9826,3,"","",2000.0,"","",52,2,52,0,52,0,3,14349,0.038461538461538464,0.0,0.0,0.036284470246734396
"TCD","TD",1170,10695,10695,11021.0,15.351666699999999,13.6275,3,"","",2015.0,"","",46,0,46,1,46,0,1,14388,0.0,0.021739130434782608,0.0,0.02050861361771944
"TCD","TD",1186,10725,10725,10676.0,20.4097222,12.7991667,3,"","",2015.0,"","",50,0,50,0,50,0,1,14491,0.0,0.0,0.0,0.0
"TCD","TD",1174,10712,10712,10805.0,15.1186111,9.8911111,3,"","",2015.0,"","",50,0,50,0,50,0,1,14429,0.0,0.0,0.0,0.0
"TCD","TD",1162,10662,10662,10684.0,18.3385977,13.2166179,1,"","",2015.0,"","",50,0,50,0,50,0,1,14256,0.0,0.0,0.0,0.0
"TCD","TD",1179,10729,10729,10654.0,20.7469444,13.6577778,3,"","",2015.0,"","",50,0,50,0,50,0,1,14506,0.0,0.0,0.0,0.0
"TCD","TD",1162,10662,10662,10685.0,18.3385977,13.2166179,1,"","",2015.0,"","",0,0,50,0,0,0,1,19896,"",0.0,"",""
"TCD","TD",1187,10699,10699,101005.0,16.566,8.6761,3,"","",2015.0,10.0,0.0,50,0,50,0,50,0,1,523,0.0,0.0,0.0,0.0
"TCD","TD",1187,10701,10701,101053.0,15.9670501,7.8792579,1,"","",2015.0,10.0,0.0,50,0,50,0,50,0,1,544,0.0,0.0,0.0,0.0
"TCD","TD",1167,10679,10679,101070.0,18.211062599999998,11.9781075,1,"","",2015.0,10.0,0.0,50,0,50,8,50,0,1,548,0.0,0.16,0.0,0.1509433962264151
"TCD","TD",1164,10668,10668,10765.0,16.7337841,10.465258,1,"","",2015.0,"","",50,0,50,1,50,0,1,14280,0.0,0.02,0.0,0.018867924528301886
"TCD","TD",1168,10683,10683,10748.0,16.7234639,12.8127564,1,"","",2015.0,"","",50,0,50,0,50,0,1,14334,0.0,0.0,0.0,0.0
"TCD","TD",1173,10708,10708,10820.0,17.3671431,9.3572656,1,"","",2015.0,"","",50,0,50,0,50,0,1,14419,0.0,0.0,0.0,0.0
"TCD","TD",1167,10681,10681,101462.0,17.9324442,11.0630379,1,"","",2015.0,10.0,0.0,40,0,40,2,40,0,1,612,0.0,0.05,0.0,0.04716981132075471
"TCD","TD",1173,10710,10710,101472.0,17.766582,8.3395326,1,"","",2015.0,10.0,0.0,50,0,50,0,50,0,1,617,0.0,0.0,0.0,0.0
"TCD","TD",1167,10682,10682,101492.0,18.6917922,12.1862546,1,"","",2015.0,9.0,0.0,43,0,43,0,43,0,1,623,0.0,0.0,0.0,0.0
"TCD","TD",1161,10661,10661,10976.0,16.493598,13.648096,1,"","",2015.0,"","",50,0,50,0,50,0,1,14254,0.0,0.0,0.0,0.0
"TCD","TD",1167,10681,10681,101463.0,17.9355,11.0598,3,"","",2015.0,10.0,0.0,50,0,50,7,50,0,1,613,0.0,0.14,0.0,0.1320754716981132
"TCD","TD",1167,10679,10679,101072.0,18.211062599999998,11.9781075,1,"","",2015.0,10.0,0.0,50,0,50,0,50,0,1,549,0.0,0.0,0.0,0.0
"TCD","TD",1164,10668,10668,10766.0,16.7337841,10.465258,1,"","",2015.0,"","",50,0,50,0,50,0,1,14282,0.0,0.0,0.0,0.0
"TCD","TD",1175,10716,10716,11038.0,14.9096846,9.3640891,1,"","",2015.0,"","",50,1,50,0,50,0,1,14446,0.02,0.0,0.0,0.018867924528301886
"TCD","TD",1173,10710,10710,101474.0,17.766582,8.3395326,1,"","",2015.0,10.0,0.0,50,0,50,0,50,0,1,618,0.0,0.0,0.0,0.0
"TCD","TD",1179,10729,10729,10655.0,20.7475,13.66,3,"","",2015.0,"","",50,0,50,0,50,0,1,14503,0.0,0.0,0.0,0.0
"TCD","TD",1185,10665,10665,101185.0,21.5819996,17.1946775,1,"","",2015.0,10.0,0.0,50,0,50,0,50,0,1,573,0.0,0.0,0.0,0.0
"TCD","TD",1174,10714,10714,101252.0,15.5503683,10.9189109,1,"","",2015.0,11.0,0.0,50,0,50,0,50,0,1,590,0.0,0.0,0.0,0.0
"TCD","TD",1180,10733,10733,101264.0,20.9059574,9.9481468,1,"","",2015.0,10.0,0.0,50,0,50,1,50,0,1,591,0.0,0.02,0.0,0.018867924528301886
"TCD","TD",1174,10753,10753,10873.0,15.8591667,9.8147222,3,"","",2015.0,"","",50,4,50,3,50,0,1,14537,0.08,0.06,0.0,0.12754716981132075
"TCD","TD",1168,10686,10686,10943.0,15.7321831,12.995353399999999,1,"","",2015.0,"","",50,0,50,0,50,0,1,14347,0.0,0.0,0.0,0.0
"TCD","TD",1169,10688,10688,101484.0,15.5342485,13.780286199999999,1,"","",2015.0,10.0,0.0,50,0,50,0,50,0,1,621,0.0,0.0,0.0,0.0
"TCD","TD",1174,10713,10713,10825.0,15.5119444,9.6277778,3,"","",2015.0,"","",50,3,50,1,50,0,1,14432,0.06,0.02,0.0,0.07433962264150942
"TCD","TD",1169,10687,10687,10933.0,15.31,14.1311111,3,"","",2015.0,"","",50,0,50,3,50,1,1,14356,0.0,0.06,0.02,0.07433962264150942
"TCD","TD",1168,10683,10683,10749.0,16.5634233,12.5844001,3,"","",2015.0,"","",50,0,50,0,50,0,1,14328,0.0,0.0,0.0,0.0
"TCD","TD",1162,10663,10663,11032.0,19.6907146,13.292049,1,"","",2015.0,"","",50,0,50,0,50,0,1,14259,0.0,0.0,0.0,0.0
"TCD","TD",1182,10738,10738,10698.0,16.5444444,21.2869444,3,"","",2015.0,"","",50,0,50,0,50,0,1,14531,0.0,0.0,0.0,0.0
"TCD","TD",1161,10660,10660,10770.0,16.0483333,13.44,3,"","",2015.0,"","",50,0,50,0,50,12,1,14249,0.0,0.0,0.24,0.22641509433962262
"TCD","TD",1179,10729,10729,10656.0,20.5916667,13.6677778,3,"","",2015.0,"","",50,0,50,0,50,0,1,14502,0.0,0.0,0.0,0.0
"TCD","TD",1174,10714,10714,10835.0,15.5430556,10.9133333,3,"","",2015.0,"","",50,0,50,0,50,0,1,14439,0.0,0.0,0.0,0.0
"TCD","TD",1180,10733,10733,101266.0,20.9059574,9.9481468,1,"","",2015.0,"","",50,0,50,2,50,0,1,592,0.0,0.04,0.0,0.03773584905660377
"TCD","TD",1167,10681,10681,101466.0,17.9324442,11.0630379,1,"","",2015.0,12.0,0.0,48,0,48,0,48,1,1,614,0.0,0.0,0.020833333333333332,0.01965408805031446
"TCD","TD",1175,10715,10715,10900.0,14.1830556,9.6505556,3,"","",2015.0,"","",50,1,50,2,50,0,1,14442,0.02,0.04,0.0,0.055849056603773574
"TCD","TD",1173,10709,10709,10868.0,17.6094444,8.8163889,3,"","",2015.0,"","",50,0,50,0,50,0,1,14421,0.0,0.0,0.0,0.0
"TCD","TD",1175,10716,10716,11039.0,15.0811111,9.4327778,4,"","",2015.0,"","",50,2,50,1,50,0,1,14443,0.04,0.02,0.0,0.055849056603773574
"TCD","TD",1176,10718,10718,101147.0,18.5471401,8.746535699999999,1,"","",2015.0,10.0,0.0,50,0,50,0,50,0,1,564,0.0,0.0,0.0,0.0
"TCD","TD",1176,10718,10718,101149.0,18.5471401,8.746535699999999,1,"","",2015.0,10.0,0.0,50,0,50,0,50,0,1,565,0.0,0.0,0.0,0.0
"TCD","TD",1168,10684,10684,10928.0,15.43647,21.3350822,1,"","",2015.0,"","",50,0,50,0,50,0,1,14338,0.0,0.0,0.0,0.0
"TCD","TD",1170,10695,10695,11022.0,15.289166699999999,13.5994444,3,"","",2015.0,"","",50,0,50,0,50,0,1,14387,0.0,0.0,0.0,0.0
"TCD","TD",1167,10680,10680,10919.0,18.4276047,11.1219015,1,"","",2015.0,"","",50,0,50,0,50,0,1,14320,0.0,0.0,0.0,0.0
"TCD","TD",1167,10680,10680,10920.0,19.6145248,12.4495196,1,"","",2015.0,"","",50,0,50,0,50,0,1,14318,0.0,0.0,0.0,0.0
"TCD","TD",1175,10715,10715,10901.0,14.1502778,9.6411111,3,"","",2015.0,"","",50,1,50,4,50,0,1,14441,0.02,0.08,0.0,0.09283018867924528
"TCD","TD",1161,10661,10661,10977.0,16.4875,13.6469444,3,"","",2015.0,"","",50,0,50,1,50,0,1,14251,0.0,0.02,0.0,0.018867924528301886
"TCD","TD",1168,10686,10686,10944.0,15.7313889,13.0102778,3,"","",2015.0,"","",50,0,50,0,50,0,1,14346,0.0,0.0,0.0,0.0
"TCD","TD",1174,10713,10713,10826.0,15.6713889,9.6041667,3,"","",2015.0,"","",50,9,50,3,50,0,1,14435,0.18,0.06,0.0,0.2162264150943396
"TCD","TD",1170,10695,10695,11023.0,15.1597222,13.5577778,3,"","",2015.0,"","",50,0,50,1,50,0,1,14384,0.0,0.02,0.0,0.018867924528301886
"TCD","TD",1168,10683,10683,50646.0,17.042999,12.4673,3,"","",2000.0,"","",50,1,50,0,50,0,3,14335,0.02,0.0,0.0,0.018867924528301886
"TCD","TD",1187,10701,10701,101055.0,15.7706,7.9621,3,"","",2015.0,10.0,0.0,50,0,50,1,50,1,1,545,0.0,0.02,0.02,0.03735849056603773
"TCD","TD",1174,10713,10713,10827.0,15.5132,9.6316582,1,"","",2015.0,"","",50,8,50,1,50,0,1,14436,0.16,0.02,0.0,0.16679245283018865
"TCD","TD",1181,10735,10735,10785.0,16.9255556,9.2325,3,"","",2015.0,"","",50,2,50,1,50,0,1,14519,0.04,0.02,0.0,0.055849056603773574
"TCD","TD",1168,10684,10684,10929.0,14.8255224,12.6449089,1,"","",2015.0,"","",50,0,50,0,50,0,1,14340,0.0,0.0,0.0,0.0
"TCD","TD",1163,10666,10666,10802.0,19.10428,17.9236623,1,"","",2015.0,"","",50,0,50,0,50,0,1,14273,0.0,0.0,0.0,0.0
"TCD","TD",1180,10732,10732,100947.0,20.2862003,11.0445821,1,"","",2015.0,12.0,0.0,50,4,50,6,50,0,1,516,0.08,0.12,0.0,0.17962264150943397
"TCD","TD",1162,10662,10662,10687.0,18.3347222,13.2191667,3,"","",2015.0,"","",50,0,50,0,50,0,1,14258,0.0,0.0,0.0,0.0
"TCD","TD",1164,10669,10669,10790.0,15.8630556,11.8016667,3,"","",2015.0,"","",50,0,50,0,50,0,1,14286,0.0,0.0,0.0,0.0
"TCD","TD",1177,10722,10722,10986.0,15.0374582,12.1194448,2,"","",2015.0,"","",50,0,50,0,50,0,1,14475,0.0,0.0,0.0,0.0
