"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"ETH","ET",1943.0,3171.0,18602.0,"",38.166,11.934,3,"","",1995.0,7.0,19.0,61.0,5,61.0,12,61.0,5,3,31534,0.08196721311475409,0.19672131147540983,0.08196721311475409,0.3047258630990059
"ETH","ET",1943.0,3171.0,18602.0,"",37.58333,11.95,3,"","",2010.0,"","",392.0,44,392.0,37,392.0,11,1,29538,0.11224489795918367,0.09438775510204081,0.02806122448979592,0.20622477756829272
"ETH","ET",1943.0,3171.0,18602.0,"",37.4333,12.55,4,"","",1995.0,8.0,18.0,117.0,1,117.0,51,117.0,0,3,30132,0.008547008547008548,0.4358974358974359,0.0,0.4157724767303867
"ETH","ET",1943.0,3171.0,18602.0,52324.0,37.4307827,12.5586158,1,"","",1995.0,"","",117.0,1,117.0,51,117.0,0,3,5016,0.008547008547008548,0.4358974358974359,0.0,0.4157724767303867
"ETH","ET",1948.0,"",3189.0,"",40.998,9.203,4,"","",2001.0,5.0,24.0,415.0,28,415.0,16,415.0,15,2,30152,0.06746987951807229,0.03855421686746988,0.03614457831325301,0.12814080292664726
"ETH","ET",1948.0,3189.0,18839.0,52284.0,42.3298717,9.2219852,1,"","",2001.0,"","",415.0,28,415.0,16,415.0,15,2,5145,0.06746987951807229,0.03855421686746988,0.03614457831325301,0.12814080292664726
"ETH","ET",1948.0,"",3143.0,"",42.049,9.417,4,"","",1986.0,5.0,19.0,99.0,5,99.0,5,99.0,5,3,29161,0.050505050505050504,0.050505050505050504,0.050505050505050504,0.1358412239666174
"ETH","ET",1943.0,"",3177.0,"",40.01667,11.19139,4,"","",1996.0,5.0,16.0,405.0,7,405.0,70,405.0,15,3,30085,0.01728395061728395,0.1728395061728395,0.037037037037037035,0.2049454503780092
"ETH","ET",1948.0,3144.0,18746.0,52141.0,42.0441594,9.4201705,1,"","",2009.0,"","",102.0,0,102.0,0,102.0,0,1,5101,0.0,0.0,0.0,0.0
"ETH","ET",1948.0,3143.0,18783.0,52193.0,41.634602,9.1368198,3,"","",2009.0,"","",97.0,35,97.0,6,97.0,2,1,5116,0.36082474226804123,0.061855670103092786,0.020618556701030927,0.3893632448365591
"ETH","ET",1948.0,3130.0,19040.0,52543.0,38.884399,7.92311,3,"","",2009.0,"","",109.0,0,109.0,0,109.0,9,1,5257,0.0,0.0,0.08256880733944955,0.07789510126363164
"ETH","ET",1948.0,3143.0,18955.0,52457.0,41.2514,9.1805601,3,"","",2009.0,"","",83.0,16,83.0,12,83.0,1,1,5207,0.1927710843373494,0.14457831325301204,0.012048192771084338,0.2998098216478619
"ETH","ET",1948.0,3159.0,18953.0,52443.0,36.802891,7.760364,1,"","",2009.0,"","",91.0,7,91.0,23,91.0,9,1,5202,0.07692307692307693,0.25274725274725274,0.0989010989010989,0.35702586700210265
"ETH","ET",1947.0,"",3154.0,"",42.215,9.219,4,"","",1986.0,5.0,19.0,99.0,5,99.0,8,99.0,2,3,29268,0.050505050505050504,0.08080808080808081,0.020202020202020204,0.13666376754086323
"ETH","ET",1948.0,"",3143.0,"",42.016,9.302,4,"","",1986.0,5.0,19.0,92.0,0,92.0,0,92.0,1,3,29278,0.0,0.0,0.010869565217391304,0.01025430680885972
"ETH","ET",1950.0,"",22487.0,"",37.115,5.668,4,"","",1994.0,5.0,16.0,156.0,36,156.0,125,156.0,34,3,28784,0.23076923076923078,0.8012820512820513,0.21794871794871795,0.8306185583733868
"ETH","ET",1950.0,"",22001.0,"",38.37452,8.116779,4,"","",2014.0,1.0,5.0,377.0,12,377.0,56,377.0,24,1,29532,0.03183023872679045,0.14854111405835543,0.0636604774535809,0.2152096204978868
"ETH","ET",1948.0,3159.0,18953.0,52444.0,36.7281,7.7456498,3,"","",2009.0,"","",85.0,20,85.0,17,85.0,13,1,5201,0.23529411764705882,0.2,0.15294117647058825,0.4545276490174316
"ETH","ET",1951.0,"",3176.0,"",38.230999,13.52,4,"","",1995.0,5.0,19.0,103.0,31,103.0,55,103.0,19,3,30111,0.30097087378640774,0.5339805825242718,0.18446601941747573,0.6927648261539059
"ETH","ET",1948.0,3135.0,19017.0,52508.0,37.356899,5.10919,3,"","",2009.0,"","",110.0,3,110.0,5,110.0,0,1,5236,0.02727272727272727,0.045454545454545456,0.0,0.0674411351941369
"ETH","ET",1948.0,3135.0,19017.0,52507.0,37.356899,5.10919,3,"","",2009.0,"","",110.0,3,110.0,5,110.0,0,1,5237,0.02727272727272727,0.045454545454545456,0.0,0.0674411351941369
"ETH","ET",1948.0,3143.0,18888.0,52340.0,41.826,8.9029503,3,"","",2009.0,"","",96.0,35,96.0,1,96.0,0,1,5165,0.3645833333333333,0.010416666666666666,0.0,0.3501908084381551
"ETH","ET",1948.0,3164.0,18811.0,52226.0,34.6666839,8.6467107,1,"","",2009.0,"","",109.0,13,109.0,47,109.0,11,1,5127,0.11926605504587157,0.43119266055045874,0.10091743119266056,0.5184796837870768
"ETH","ET",1950.0,"",3148.0,"",37.566667,6.25,4,"","",2012.0,5.0,15.0,100.0,1,100.0,53,100.0,5,1,30189,0.01,0.53,0.05,0.5263820754716981
"ETH","ET",1950.0,3148.0,19148.0,52207.0,38.2058155,6.1620447,1,"","",2012.0,"","",100.0,1,100.0,53,100.0,5,1,5271,0.01,0.53,0.05,0.5263820754716981
"ETH","ET",1950.0,"",3148.0,"",37.566667,6.25,4,"","",2012.0,5.0,15.0,120.0,1,120.0,68,120.0,19,1,30187,0.008333333333333333,0.5666666666666667,0.15833333333333333,0.6021859713487071
"ETH","ET",1950.0,"",3148.0,"",37.566667,6.25,4,"","",2015.0,5.0,14.0,408.0,4,408.0,95,408.0,66,1,29478,0.00980392156862745,0.23284313725490197,0.16176470588235295,0.34268540689762883
"ETH","ET",1948.0,"",3143.0,"",42.699,9.502,4,"","",1986.0,5.0,19.0,90.0,0,90.0,2,90.0,1,3,29280,0.0,0.022222222222222223,0.011111111111111112,0.03121360354064756
