iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,sth_examined,sth_positive,quality,sn
CIV,CI,1625.0,15403.0,15403.0,epp  kotoagnuan 1,,,,99,school,,2012.0,5.0,15.0,53.0,12.0,0.0,0.0377,53.0,0,0.0,0.0,53.0,0.0,0.0,0.0,53.0,12.0,1,24853
CIV,CI,1622.0,15388.0,15388.0,epp  kouassi perita,,,,99,school,,2012.0,5.0,10.0,55.0,0.0,0.0,0.0,55.0,0,0.0,0.0,55.0,0.0,0.0,0.0,55.0,0.0,1,24597
CIV,CI,1609.0,15340.0,15340.0,epp abbia,,-3.97223,5.27144,3,school,mapping,2014.0,7.0,14.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,6.0,0.0,0.0,30.0,6.0,1,23855
CIV,CI,1611.0,15349.0,15349.0,epp abli 1,,,,99,school,,2014.0,7.0,14.0,30.0,4.0,0.0,0.0,30.0,0,0.0,0.0,30.0,1.0,0.0,0.0,30.0,4.0,1,23924
CIV,CI,1608.0,15329.0,15329.0,epp abobo doume bad,,-4.04307,5.31532,3,school,mapping,2014.0,7.0,12.0,30.0,0.0,0.0,0.0,30.0,6,0.0,0.0,30.0,0.0,0.0,0.0,30.0,6.0,1,23688
CIV,CI,1608.0,15329.0,15329.0,epp abobo doume jerusalem 3,,-4.04195,5.3208,3,school,mapping,2014.0,8.0,12.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,1.0,0.0,0.0,30.0,1.0,1,23689
CIV,CI,1609.0,15335.0,15335.0,epp abobote 3,,-3.99887,5.41094,3,school,mapping,2014.0,8.0,12.0,30.0,1.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,1.0,1,23778
CIV,CI,1623.0,15391.0,15391.0,epp abognikro,,-4.26204,7.11241,3,school,mapping,2014.0,7.0,13.0,34.0,7.0,0.0,0.0,34.0,2,0.0,0.0294,34.0,0.0,0.0,0.0,34.0,8.0,1,24653
CIV,CI,1623.0,15395.0,15395.0,epp abokro,,,,99,school,,2014.0,7.0,14.0,32.0,11.0,0.0,0.0,32.0,0,0.0,0.0,32.0,2.0,0.0,0.0312,32.0,12.0,1,24718
CIV,CI,1625.0,15404.0,15404.0,epp abrobakro,,,,99,school,,2012.0,7.0,15.0,30.0,3.0,0.0,0.0,30.0,0,0.0,0.0,30.0,3.0,0.0,0.0,30.0,5.0,1,24873
CIV,CI,1625.0,15402.0,15402.0,epp aby 1,,,,99,school,,2012.0,6.0,13.0,30.0,1.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,1.0,1,24827
CIV,CI,1625.0,15404.0,15404.0,epp adamakro,,,,99,school,,2012.0,6.0,14.0,30.0,19.0,0.0333,0.3,30.0,3,0.0,0.0667,30.0,19.0,0.0,0.1,30.0,25.0,1,24874
CIV,CI,1619.0,15381.0,15381.0,epp adamakro 1,,-3.23036,6.3039,3,school,mapping,2014.0,8.0,13.0,30.0,3.0,0.0,0.0333,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,3.0,1,24467
CIV,CI,1608.0,15332.0,15332.0,epp adesse,,-4.70015,5.16774,3,school,mapping,2014.0,7.0,12.0,31.0,1.0,0.0,0.0,31.0,0,0.0,0.0,31.0,0.0,0.0,0.0,31.0,1.0,1,23733
CIV,CI,1625.0,15404.0,15404.0,epp adiaho,,,,99,school,,2012.0,6.0,14.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,1,24875
CIV,CI,1608.0,15332.0,15332.0,epp adjakoutie,,,,99,school,,2014.0,8.0,13.0,32.0,0.0,0.0,0.0,32.0,0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,0.0,1,23734
CIV,CI,1614.0,15365.0,15365.0,epp adjou gouansou,,,,99,school,,2012.0,,,30.0,10.0,0.0,0.0333,30.0,1,0.0,0.0,30.0,0.0,0.0,0.0,30.0,10.0,1,24137
CIV,CI,1609.0,15339.0,15339.0,epp adjouffou b,,-3.92049,5.24714,3,school,mapping,2014.0,7.0,14.0,31.0,1.0,0.0,0.0,31.0,2,0.0,0.0,31.0,4.0,0.0,0.0,31.0,7.0,1,23841
CIV,CI,1619.0,15379.0,15379.0,epp affalikro 3,,-3.38734,6.64172,3,school,mapping,2014.0,8.0,13.0,30.0,2.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,2.0,1,24437
CIV,CI,1614.0,15361.0,15361.0,epp afotobo,,,,99,school,,2012.0,,,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,1,24057
CIV,CI,1615.0,15367.0,15367.0,epp africa no1,,,,99,school,,2012.0,6.0,15.0,50.0,0.0,0.0,0.0,50.0,0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,1,24197
CIV,CI,1609.0,15338.0,15338.0,epp aghien 2,,,,99,school,,2014.0,8.0,14.0,30.0,2.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,2.0,1,23823
CIV,CI,1619.0,15380.0,15380.0,epp agnanfoutou 1,,-3.14477,7.11531,3,school,mapping,2014.0,7.0,14.0,30.0,5.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,5.0,1,24452
CIV,CI,1623.0,15393.0,15393.0,epp agni assikasso 2,,-4.04089,7.06655,3,school,mapping,2014.0,7.0,14.0,30.0,4.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,4.0,1,24682
CIV,CI,1619.0,15380.0,15380.0,epp agni plateau 2,,,,99,school,,2014.0,8.0,14.0,31.0,0.0,0.0,0.0,31.0,0,0.0,0.0,31.0,1.0,0.0,0.0,31.0,1.0,1,24453
CIV,CI,1619.0,15380.0,15380.0,epp agni plateau 4,,,,99,school,,2014.0,8.0,14.0,30.0,1.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,1.0,1,24454
CIV,CI,1619.0,15380.0,15380.0,epp agni residentiel 2,,-3.19959,7.12047,3,school,mapping,2014.0,7.0,14.0,30.0,2.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,2.0,1,24455
CIV,CI,1619.0,15380.0,15380.0,epp agnimou agninikro,,-3.23537,7.17049,3,school,mapping,2014.0,8.0,13.0,30.0,3.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,3.0,1,24456
CIV,CI,1619.0,15380.0,15380.0,epp agninikro,,-3.41762,7.26239,3,school,mapping,2014.0,7.0,13.0,30.0,1.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,1.0,1,24457
CIV,CI,1609.0,15336.0,15336.0,epp agnissankoi 3b,,-4.02844,5.4481,3,school,mapping,2014.0,7.0,14.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,2.0,0.0,0.0,30.0,2.0,1,23793
CIV,CI,1609.0,15336.0,15336.0,epp agoueto bad a,,-4.06196,5.44575,4,school,mapping,2014.0,7.0,14.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,1,23794
CIV,CI,1612.0,15354.0,15354.0,epp ahibango,,-3.25457,7.83315,3,school,mapping,2014.0,7.0,13.0,30.0,1.0,0.0,0.0,30.0,1,0.0,0.0,30.0,0.0,0.0,0.0,30.0,2.0,1,24009
CIV,CI,1619.0,15379.0,15379.0,epp ahinikro,,-3.63093,6.52834,3,school,mapping,2014.0,8.0,13.0,30.0,7.0,0.0,0.0,30.0,0,0.0,0.0,30.0,1.0,0.0,0.0,30.0,7.0,1,24438
CIV,CI,1616.0,15371.0,15371.0,epp ahizabre 2,,,,99,school,,2012.0,4.0,15.0,30.0,1.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,1.0,1,24292
CIV,CI,1616.0,15372.0,15372.0,epp ahloul bayt,,,,99,school,,2012.0,6.0,13.0,30.0,0.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,1,24318
CIV,CI,1623.0,15392.0,15392.0,epp ahorosso 2,,,,99,school,,2014.0,7.0,14.0,31.0,12.0,0.0,0.0,31.0,1,0.0,0.0,31.0,0.0,0.0,0.0,31.0,13.0,1,24668
CIV,CI,1621.0,15385.0,15385.0,epp ahouati,,,,99,school,,2012.0,7.0,14.0,33.0,0.0,0.0,0.0,33.0,3,0.0,0.0,33.0,0.0,0.0,0.0,33.0,3.0,1,24533
CIV,CI,1614.0,15363.0,15363.0,epp ahougnanfoutou,,,,99,school,,2012.0,,,30.0,5.0,0.0,0.0,30.0,0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,5.0,1,24096
