"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst"
"NER","NE",3668.0,35299.0,35299.0,"",12.254,13.1607299,1,"","mapping",2014.0,6.0,12.0,50,0,50,2,50,0,1,27325,0.0,0.04,0.0,0.0377358490566037,39101.39330592853,49,49,49
"NER","NE",3673.0,35325.0,35325.0,55610.0,3.655,14.484,3,"","",2004.0,"","",59,0,59,0,59,0,2,10213,0.0,0.0,0.0,0.0,457.15913241194124,50,50,50
"NER","NE",3667.0,35295.0,35295.0,"",2.118023,13.5318887,1,"","mapping",2014.0,8.0,14.0,50,0,50,0,50,0,1,27272,0.0,0.0,0.0,0.0,1137.019019923556,51,51,51
"NER","NE",3674.0,35331.0,35331.0,"",10.14758,13.51435,1,"","mapping",2014.0,7.0,11.0,50,0,50,0,50,0,1,27539,0.0,0.0,0.0,0.0,11976.040664614751,52,52,52
"NER","NE",3669.0,35305.0,35305.0,55643.0,3.579,13.693,3,"","",2004.0,"","",60,1,60,0,60,0,2,10139,0.0166666666666666,0.0,0.0,0.0157232704402515,18537.37996833058,53,53,53
"NER","NE",3674.0,35335.0,35335.0,55693.0,9.04,15.511,3,"","",2004.0,"","",60,1,60,0,60,5,2,10282,0.0166666666666666,0.0,0.0833333333333333,0.0930293501048217,26814.601057473687,54,54,54
"NER","NE",3669.0,35303.0,35303.0,13736.0,3.7333333,13.2333333,3,"","",2006.0,"","",50,0,50,0,50,0,1,10127,0.0,0.0,0.0,0.0,765.9922416235966,55,55,55
"NER","NE",3667.0,35297.0,35297.0,55703.0,9.1149998,17.473,3,"","",2004.0,"","",60,0,60,0,60,0,2,10084,0.0,0.0,0.0,0.0,8658.904864417469,56,56,56
"NER","NE",3672.0,35324.0,35324.0,55686.0,5.3150001,14.552,3,"","",2004.0,"","",60,3,60,0,60,0,2,10197,0.05,0.0,0.0,0.0471698113207547,3467.7211480429337,57,57,57
"NER","NE",3670.0,35309.0,35309.0,"",6.977983,13.02225,1,"","mapping",2005.0,10.0,15.0,60,0,60,0,60,0,2,27422,0.0,0.0,0.0,0.0,542.0905043767123,58,58,58
