iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,asc_examined,asc_positive,tt_examined,tt_positive,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst
UGA,UG,5176.0,49759.0,49759.0,african child,,32.634899,0.255,3,,,2006.0,9.0,15.0,60,8,60,1,60,6,1,31122,0.1333333333333333,0.0166666666666666,0.1,0.2198113207547169,1591.517746105856,43,43,43
UGA,UG,5129.0,49712.0,49712.0,agomvususu p/s,58348.0,31.40896,2.9975801,3,,,2011.0,,,50,0,50,0,50,0,1,16282,0.0,0.0,0.0,0.0,1001.4248429209259,44,44,44
UGA,UG,5222.0,49805.0,49805.0,agora,,32.965099,2.83623,3,,,1998.0,8.0,15.0,58,30,58,0,58,0,3,30909,0.5172413793103449,0.0,0.0,0.4879635653871177,10838.258105099161,45,45,45
UGA,UG,5215.0,49798.0,49798.0,agu,,33.7,1.466667,1,,,2009.0,5.0,18.0,60,2,60,0,60,0,1,29671,0.0333333333333333,0.0,0.0,0.0314465408805031,0.0,46,46,47
UGA,UG,5215.0,49798.0,49798.0,agu,17806.0,33.7,1.466667,1,,,2008.0,,,61,2,0,0,0,0,1,17761,0.0327868852459016,,,,0.0,47,47,46
UGA,UG,5173.0,49756.0,49756.0,agu,17580.0,33.7,1.466667,1,,,2008.0,,,0,0,61,0,61,0,1,17073,,0.0,0.0,,0.0,48,48,46
UGA,UG,5229.0,49812.0,49812.0,aguara port com,17919.0,33.45528,1.4970088,1,,,2011.0,,,50,0,50,0,50,0,1,18021,0.0,0.0,0.0,0.0,10437.137627393759,49,49,49
UGA,UG,5221.0,49804.0,49804.0,agule,17864.0,33.708574,1.288154,1,,,2008.0,,,58,0,0,0,0,0,1,17874,0.0,,,,867.4571276071273,50,50,50
UGA,UG,5173.0,49756.0,49756.0,agule,,33.9148,1.60301,3,,,2009.0,5.0,18.0,58,0,58,0,58,0,1,29763,0.0,0.0,0.0,0.0,0.0,51,51,52
UGA,UG,5173.0,49756.0,49756.0,agule,17581.0,33.9148,1.60301,3,,,2008.0,,,0,0,58,0,58,0,1,17067,,0.0,0.0,,0.0,52,52,51
UGA,UG,5229.0,49812.0,49812.0,agule odapakol p/s,59352.0,33.7084594,1.2803643,1,,,2011.0,,,51,0,51,0,51,0,1,18028,0.0,0.0,0.0,0.0,867.4571276071273,53,53,53
UGA,UG,5229.0,49812.0,49812.0,agwala landing site,17921.0,33.092,1.49599,3,,,2011.0,,,50,0,50,0,50,0,1,18025,0.0,0.0,0.0,0.0,813.8910420087717,54,54,54
UGA,UG,5126.0,49709.0,49709.0,agwara,17132.0,33.65111,1.9914692,1,,,2013.0,,,60,0,60,0,60,0,1,16182,0.0,0.0,0.0,0.0,1840.0918172979448,55,55,55
UGA,UG,5161.0,49743.0,49743.0,agwara port,,33.099221,1.4971352,1,,,2005.0,5.0,16.0,63,7,63,0,63,0,2,30974,0.1111111111111111,0.0,0.0,0.1048218029350104,813.8910420087717,56,56,56
UGA,UG,5227.0,49810.0,49810.0,agwara port,17940.0,33.1654,1.828617,3,,,2005.0,,,32,7,32,0,32,0,2,17995,0.21875,0.0,0.0,0.2063679245283018,5449.637128560477,57,57,57
UGA,UG,5127.0,49710.0,49710.0,agwayugi,17145.0,32.1569535,2.8949418,1,,,2013.0,,,60,0,60,0,60,1,1,16221,0.0,0.0,0.0166666666666666,0.0157232704402515,6694.94176047703,58,58,58
UGA,UG,5188.0,49771.0,49771.0,agweng,58937.0,32.9393893,2.4937606,1,,,2012.0,,,56,0,56,0,56,0,1,17275,0.0,0.0,0.0,0.0,12790.562516056953,59,59,59
UGA,UG,5129.0,49712.0,49712.0,ajagoro p/s,58349.0,31.2007883,3.04872,1,,,2011.0,,,50,0,50,0,50,0,1,16287,0.0,0.0,0.0,0.0,6747.285601462645,60,60,60
UGA,UG,5126.0,49709.0,49709.0,ajota,17133.0,33.786563,1.822673,3,,,2013.0,,,50,0,50,0,50,0,1,16186,0.0,0.0,0.0,0.0,84.26488699542028,61,61,61
UGA,UG,5124.0,49707.0,49707.0,ajugopi p/s,17111.0,31.9121,3.4318,3,,,2011.0,,,50,0,50,0,50,0,1,16145,0.0,0.0,0.0,0.0,3419.6316626224716,62,62,62
UGA,UG,5167.0,49742.0,49742.0,akampala com,17397.0,32.99142,1.53836,4,,,2011.0,,,51,1,51,0,51,0,1,16793,0.0196078431372549,0.0,0.0,0.0184979652238253,5145.036800875914,63,63,63
UGA,UG,5173.0,49756.0,49756.0,akarukei ajesa,17582.0,33.7616944,1.5121289999999998,1,,,2008.0,,,59,0,59,0,59,0,1,17072,0.0,0.0,0.0,0.0,6417.234658825284,64,64,64
UGA,UG,5215.0,49798.0,49798.0,akarukei ajesa,,33.771198,1.6175000000000002,3,,,2009.0,5.0,18.0,58,0,58,0,58,0,1,29747,0.0,0.0,0.0,0.0,5450.930433981866,65,65,65
UGA,UG,5129.0,49712.0,49712.0,akavu p/s,17180.0,31.3281983,2.8278283,1,,,2011.0,,,51,0,51,0,51,0,1,16284,0.0,0.0,0.0,0.0,1347.2933877861637,66,66,66
UGA,UG,5188.0,49771.0,49771.0,akia,17604.0,32.9276693,2.2477273,1,,,2012.0,,,51,1,51,0,51,0,1,17276,0.0196078431372549,0.0,0.0,0.0184979652238253,5277.098657150332,67,67,67
UGA,UG,5233.0,49816.0,49816.0,akia p/s,59410.0,31.1474367,3.5292867,1,,,2011.0,,,50,0,50,0,50,0,1,18133,0.0,0.0,0.0,0.0,590.5048417100177,68,68,68
UGA,UG,5221.0,49804.0,49804.0,akwamor p/s,59277.0,33.69445,1.30748,3,,,2011.0,,,50,0,50,0,50,0,1,17877,0.0,0.0,0.0,0.0,2665.1042790089978,69,69,69
UGA,UG,5183.0,49766.0,49766.0,akworo,,32.9151,3.24012,3,,,1998.0,7.0,14.0,60,26,60,1,60,0,3,30846,0.4333333333333333,0.0166666666666666,0.0,0.4177148846960167,2526.108538986451,70,70,70
UGA,UG,5219.0,49802.0,49802.0,aleka,17846.0,32.7567121,2.5599936,1,,,2012.0,,,67,2,67,0,67,0,1,17840,0.0298507462686567,0.0,0.0,0.0281610813855252,3691.559412215491,71,71,71
UGA,UG,5128.0,49711.0,49711.0,alenga,17171.0,32.3539222,1.85043,1,,,2012.0,,,61,1,61,0,61,0,1,16239,0.0163934426229508,0.0,0.0,0.0154655119084441,6106.218543767804,72,72,72
UGA,UG,5124.0,49707.0,49707.0,alere1,,31.7444,3.44807,3,,,1998.0,9.0,15.0,59,16,59,0,59,0,3,31015,0.2711864406779661,0.0,0.0,0.255836264790534,7147.295152446461,73,73,73
UGA,UG,5123.0,49706.0,49706.0,alerek,,33.7266253,2.7967891,1,,,1998.0,5.0,17.0,64,24,64,0,64,0,3,30941,0.375,0.0,0.0,0.3537735849056603,15157.806855608518,74,74,74
UGA,UG,5182.0,49765.0,49765.0,alero p/s,17523.0,32.30809,2.16295,3,,,2011.0,,,49,0,49,0,49,0,1,17179,0.0,0.0,0.0,0.0,5032.509573091585,75,75,75
UGA,UG,5199.0,,126.0,aliba,,31.549999,3.22965,4,,,2002.0,5.0,16.0,58,40,58,0,58,0,2,30991,0.6896551724137931,0.0,0.0,0.6506180871828237,0.0,76,76,77
UGA,UG,5199.0,,126.0,aliba,,31.549999,3.22965,4,,,2003.0,6.0,14.0,120,80,120,0,120,0,2,31077,0.6666666666666666,0.0,0.0,0.6289308176100628,0.0,77,77,76
UGA,UG,5199.0,49782.0,49782.0,aliba,59037.0,31.546771,3.273504,1,,,2002.0,,,58,40,58,0,58,0,2,17450,0.6896551724137931,0.0,0.0,0.6506180871828237,0.0,78,78,79
UGA,UG,5199.0,49782.0,49782.0,aliba,59038.0,31.546771,3.273504,1,,,2003.0,,,120,80,120,0,120,0,2,17463,0.6666666666666666,0.0,0.0,0.6289308176100628,0.0,79,79,78
UGA,UG,5124.0,49707.0,49707.0,aliwara,,31.821501,3.15787,3,,,1998.0,10.0,14.0,57,34,57,0,57,0,3,31010,0.5964912280701754,0.0,0.0,0.5627275736511088,9029.9145831893,80,80,80
UGA,UG,5131.0,49714.0,49714.0,aloi dem,,33.1773203,2.2735715,1,,,2002.0,5.0,16.0,60,21,60,8,60,0,2,30978,0.35,0.1333333333333333,0.0,0.4119496855345911,4105.613608671216,81,81,81
