"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst"
"MWI","MW",3005.0,28966.0,28966.0,"",33.88432,-13.15088,3,"school","sentinel site",2014,6.0,15.0,89,0,89,0,89,0,1,26661,0.0,0.0,0.0,0.0,0.0,100,100,96
"MWI","MW",2993.0,28954.0,28954.0,"",33.6821306,-13.748348,3,"school","mapping",2018,10.0,14.0,30,0,30,2,30,0,1,26488,0.0,0.0666666666666666,0.0,0.0628930817610062,11.039750201353593,101,101,101
"MWI","MW",2993.0,28954.0,28954.0,"",33.68216,-13.74844,3,"school","mapping",2012,11.0,15.0,30,2,30,0,30,0,1,26421,0.0666666666666666,0.0,0.0,0.0628930817610062,11.039750201353593,102,102,102
"MWI","MW",2985.0,28946.0,28946.0,"",34.8016945,-16.0437784,1,"","",2004,"","",1642,324,0,0,0,0,2,29885,0.197320341047503,"","","",9745.498166134814,103,103,103
"MWI","MW",3009.0,28970.0,28970.0,"",35.30366205,-16.06102984,3,"school","mapping",2017,10.0,14.0,30,0,30,0,30,0,1,27226,0.0,0.0,0.0,0.0,6383.671550359507,104,104,104
"MWI","MW",2988.0,28949.0,28949.0,"",34.57111055,-14.28461726,3,"school","mapping",2017,10.0,12.0,30,0,30,0,30,0,1,26355,0.0,0.0,0.0,0.0,8254.797887067647,105,105,105
"MWI","MW",2983.0,28944.0,28944.0,"",35.1842756,-14.9689336,3,"school","mapping",2018,10.0,14.0,30,2,30,3,30,0,1,26940,0.0666666666666666,0.1,0.0,0.1509433962264151,0.0,106,106,107
"MWI","MW",2983.0,28944.0,28944.0,"",35.1842756,-14.9689336,3,"school","mapping",2012,10.0,14.0,30,0,30,0,30,0,1,26939,0.0,0.0,0.0,0.0,0.0,107,107,106
"MWI","MW",3003.0,28964.0,28964.0,"",34.91195011,-16.67911374,3,"school","mapping",2017,10.0,14.0,30,0,30,1,30,0,1,27192,0.0,0.0333333333333333,0.0,0.0314465408805031,12547.429836328103,108,108,108
"MWI","MW",2989.0,28950.0,28950.0,"",33.81720762,-13.57912823,3,"school","mapping",2017,10.0,14.0,15,0,15,0,15,0,1,26375,0.0,0.0,0.0,0.0,8863.993768211874,109,109,109
"MWI","MW",2993.0,28954.0,28954.0,"",33.5623116,-14.0951633,3,"school","mapping",2018,10.0,14.0,30,0,30,3,30,0,1,26489,0.0,0.1,0.0,0.0943396226415094,5339.876154587863,110,110,110
"MWI","MW",2984.0,28945.0,28945.0,"",34.9823534,-15.7792844,1,"school","mapping",2012,10.0,14.0,31,0,30,0,30,0,1,26990,0.0,0.0,0.0,0.0,440.5568410203125,111,111,111
"MWI","MW",2984.0,28945.0,28945.0,"",34.97847382,-15.77853196,3,"","mapping",2018,10.0,13.0,30,0,30,0,30,0,1,26991,0.0,0.0,0.0,0.0,440.5568410203125,112,112,112
"MWI","MW",3001.0,28962.0,28962.0,"",34.16468,-11.61409,3,"school","mapping",2013,10.0,13.0,30,1,30,0,30,0,1,26899,0.0333333333333333,0.0,0.0,0.0314465408805031,0.0,113,113,114
"MWI","MW",3001.0,28962.0,28962.0,13237.0,34.16468,-11.61409,3,"","",2013,"","",30,3,30,0,30,0,1,9897,0.1,0.0,0.0,0.0943396226415094,0.0,114,114,113
"MWI","MW",3008.0,28969.0,28969.0,"",34.27528,-13.45759,3,"school","mapping",2013,10.0,14.0,30,0,30,1,30,0,1,26707,0.0,0.0333333333333333,0.0,0.0314465408805031,0.0,115,115,116
"MWI","MW",3008.0,28969.0,28969.0,13308.0,34.27528,-13.45759,3,"","",2013,"","",30,0,30,0,30,0,1,9979,0.0,0.0,0.0,0.0,0.0,116,116,115
"MWI","MW",2992.0,28953.0,28953.0,"",34.73281,-12.09031,3,"school","mapping",2015,10.0,14.0,25,0,25,0,25,0,1,26721,0.0,0.0,0.0,0.0,1411.3655517448149,117,117,117
"MWI","MW",3002.0,28963.0,28963.0,"",34.114349,-13.365533,3,"","",2002,9.0,10.0,59,0,59,0,59,0,2,29196,0.0,0.0,0.0,0.0,6352.556123846524,118,118,118
"MWI","MW",2993.0,28954.0,28954.0,"",33.74147,-14.10312,3,"school","sentinel site",2014,5.0,14.0,112,0,112,0,112,0,1,26490,0.0,0.0,0.0,0.0,0.0,119,119,120
"MWI","MW",2993.0,28954.0,28954.0,"",33.74147,-14.10312,3,"school","sentinel site",2017,6.0,11.0,108,0,107,0,107,0,1,26492,0.0,0.0,0.0,0.0,0.0,120,120,119
"MWI","MW",2993.0,28954.0,28954.0,"",33.74147,-14.10312,3,"school","sentinel site",2016,6.0,12.0,95,0,95,0,95,0,1,26494,0.0,0.0,0.0,0.0,0.0,121,121,119
"MWI","MW",2993.0,28954.0,28954.0,"",33.74147,-14.10312,3,"school","sentinel site",2015,6.0,12.0,104,0,104,0,103,0,1,26493,0.0,0.0,0.0,0.0,0.0,122,122,119
"MWI","MW",2993.0,28954.0,28954.0,"",33.74147,-14.10312,3,"school","sentinel site",2012,6.0,10.0,125,0,125,0,125,0,1,26491,0.0,0.0,0.0,0.0,0.0,123,123,119
"MWI","MW",2988.0,28949.0,28949.0,"",34.158318,-14.288834,3,"","",2002,9.0,10.0,60,0,60,0,60,0,2,29205,0.0,0.0,0.0,0.0,7397.921698409761,124,124,124
